id,agency_id,route_id,stop_id,start,end,header_text,description_text
lmm:planned_work:16202,MTASBWY,,S24,1712399400,1712442600,All [SIR] trains from Stapleton to Jefferson Av board at the St George-bound platform,"Boarding change includes Stapleton, Clifton, Grasmere, Old Town, Dongan Hills and Jefferson Av stations.
What's happening?
Scheduled maintenance"
lmm:planned_work:16202,MTASBWY,,S24,1712485800,1712529000,All [SIR] trains from Stapleton to Jefferson Av board at the St George-bound platform,"Boarding change includes Stapleton, Clifton, Grasmere, Old Town, Dongan Hills and Jefferson Av stations.
What's happening?
Scheduled maintenance"
lmm:planned_work:16202,MTASBWY,,S29,1712399400,1712442600,All [SIR] trains from Stapleton to Jefferson Av board at the St George-bound platform,"Boarding change includes Stapleton, Clifton, Grasmere, Old Town, Dongan Hills and Jefferson Av stations.
What's happening?
Scheduled maintenance"
lmm:planned_work:16202,MTASBWY,,S29,1712485800,1712529000,All [SIR] trains from Stapleton to Jefferson Av board at the St George-bound platform,"Boarding change includes Stapleton, Clifton, Grasmere, Old Town, Dongan Hills and Jefferson Av stations.
What's happening?
Scheduled maintenance"
lmm:planned_work:16201,MTASBWY,SI,,1712235600,1712257200,All [SIR] trains from Grasmere to Tompkinsville board at the Tottenville-bound platform,"Boarding change affects Grasmere, Clifton, Stapleton and Tompkinsville stations.
What's happening?
Scheduled maintenance"
lmm:planned_work:16201,MTASBWY,,S27,1712235600,1712257200,All [SIR] trains from Grasmere to Tompkinsville board at the Tottenville-bound platform,"Boarding change affects Grasmere, Clifton, Stapleton and Tompkinsville stations.
What's happening?
Scheduled maintenance"
lmm:planned_work:16201,MTASBWY,,S30,1712235600,1712257200,All [SIR] trains from Grasmere to Tompkinsville board at the Tottenville-bound platform,"Boarding change affects Grasmere, Clifton, Stapleton and Tompkinsville stations.
What's happening?
Scheduled maintenance"
lmm:planned_work:16199,MTASBWY,SI,,1712322000,1712343600,All [SIR] trains from Arthur Kill to Prince's Bay board at the Tottenville-bound platform,"Boarding change affects Arthur Kill, Richmond Valley, Pleasant Plains and Prince's Bay stations.
What's happening?
Scheduled maintenance"
lmm:planned_work:16199,MTASBWY,,S11,1712322000,1712343600,All [SIR] trains from Arthur Kill to Prince's Bay board at the Tottenville-bound platform,"Boarding change affects Arthur Kill, Richmond Valley, Pleasant Plains and Prince's Bay stations.
What's happening?
Scheduled maintenance"
lmm:planned_work:16199,MTASBWY,,S15,1712322000,1712343600,All [SIR] trains from Arthur Kill to Prince's Bay board at the Tottenville-bound platform,"Boarding change affects Arthur Kill, Richmond Valley, Pleasant Plains and Prince's Bay stations.
What's happening?
Scheduled maintenance"
lmm:planned_work:16165,MTASBWY,R,,1714189500,1714381200,"In Brooklyn, Bay Ridge-bound [R] skips Union St, 4 Av-9 St, Prospect Av, 25 St, 45 St and 53 St","For service to Union St, 4 Av-9 St, Prospect Av and 25 St, take the [R] to 36 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to Atlantic Av-Barclays Ctr and transfer to a Bay Ridge-bound [R].

For service to 45 St and 53 St, take the [R] to 59 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to 36 St and transfer to a Bay Ridge-bound [R].

What's happening?
Track maintenance"
lmm:planned_work:16165,MTASBWY,,R32,1714189500,1714381200,"In Brooklyn, Bay Ridge-bound [R] skips Union St, 4 Av-9 St, Prospect Av, 25 St, 45 St and 53 St","For service to Union St, 4 Av-9 St, Prospect Av and 25 St, take the [R] to 36 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to Atlantic Av-Barclays Ctr and transfer to a Bay Ridge-bound [R].

For service to 45 St and 53 St, take the [R] to 59 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to 36 St and transfer to a Bay Ridge-bound [R].

What's happening?
Track maintenance"
lmm:planned_work:16165,MTASBWY,,R33,1714189500,1714381200,"In Brooklyn, Bay Ridge-bound [R] skips Union St, 4 Av-9 St, Prospect Av, 25 St, 45 St and 53 St","For service to Union St, 4 Av-9 St, Prospect Av and 25 St, take the [R] to 36 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to Atlantic Av-Barclays Ctr and transfer to a Bay Ridge-bound [R].

For service to 45 St and 53 St, take the [R] to 59 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to 36 St and transfer to a Bay Ridge-bound [R].

What's happening?
Track maintenance"
lmm:planned_work:16165,MTASBWY,,R34,1714189500,1714381200,"In Brooklyn, Bay Ridge-bound [R] skips Union St, 4 Av-9 St, Prospect Av, 25 St, 45 St and 53 St","For service to Union St, 4 Av-9 St, Prospect Av and 25 St, take the [R] to 36 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to Atlantic Av-Barclays Ctr and transfer to a Bay Ridge-bound [R].

For service to 45 St and 53 St, take the [R] to 59 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to 36 St and transfer to a Bay Ridge-bound [R].

What's happening?
Track maintenance"
lmm:planned_work:16165,MTASBWY,,R35,1714189500,1714381200,"In Brooklyn, Bay Ridge-bound [R] skips Union St, 4 Av-9 St, Prospect Av, 25 St, 45 St and 53 St","For service to Union St, 4 Av-9 St, Prospect Av and 25 St, take the [R] to 36 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to Atlantic Av-Barclays Ctr and transfer to a Bay Ridge-bound [R].

For service to 45 St and 53 St, take the [R] to 59 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to 36 St and transfer to a Bay Ridge-bound [R].

What's happening?
Track maintenance"
lmm:planned_work:16165,MTASBWY,,R39,1714189500,1714381200,"In Brooklyn, Bay Ridge-bound [R] skips Union St, 4 Av-9 St, Prospect Av, 25 St, 45 St and 53 St","For service to Union St, 4 Av-9 St, Prospect Av and 25 St, take the [R] to 36 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to Atlantic Av-Barclays Ctr and transfer to a Bay Ridge-bound [R].

For service to 45 St and 53 St, take the [R] to 59 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to 36 St and transfer to a Bay Ridge-bound [R].

What's happening?
Track maintenance"
lmm:planned_work:16165,MTASBWY,,R40,1714189500,1714381200,"In Brooklyn, Bay Ridge-bound [R] skips Union St, 4 Av-9 St, Prospect Av, 25 St, 45 St and 53 St","For service to Union St, 4 Av-9 St, Prospect Av and 25 St, take the [R] to 36 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to Atlantic Av-Barclays Ctr and transfer to a Bay Ridge-bound [R].

For service to 45 St and 53 St, take the [R] to 59 St and transfer to a Manhattan-bound local train.

For service from these stations, take a Manhattan-bound train to 36 St and transfer to a Bay Ridge-bound [R].

What's happening?
Track maintenance"
